2025.03.31 11:15:00   CLOSE_BASKET | SHORT | p=0.89797 | lot=0.01 | reason=tp_10.0_pips net_pips=11.2
2025.03.31 19:15:00   PROBE_OPEN | SHORT | p=0.89676 | lot=0.01 | gate_l=0 gate_s=1
2025.03.31 23:00:00   ADD | SHORT | p=0.89899 | lot=0.24 | 
2025.04.01 03:00:00   CLOSE_BASKET | SHORT | p=0.89809 | lot=0.25 | reason=tp_10.0_pips net_pips=8.1
2025.04.01 05:15:00   PROBE_OPEN | SHORT | p=0.89868 | lot=0.01 | gate_l=0 gate_s=1
2025.04.01 16:45:00   ADD | SHORT | p=0.90085 | lot=0.24 | 
2025.04.01 17:00:00   CLOSE_BASKET | SHORT | p=0.90008 | lot=0.25 | reason=tp_10.0_pips net_pips=6.8
2025.04.01 17:15:00   PROBE_OPEN | SHORT | p=0.90047 | lot=0.01 | gate_l=0 gate_s=1
2025.04.01 18:00:00   CLOSE_BASKET | SHORT | p=0.89914 | lot=0.01 | reason=tp_10.0_pips net_pips=13.3
2025.04.02 01:30:00   PROBE_OPEN | SHORT | p=0.89809 | lot=0.01 | gate_l=0 gate_s=1
2025.04.02 06:00:00   ADD | SHORT | p=0.90032 | lot=0.24 | 
2025.04.02 12:45:00   ADD | SHORT | p=0.90282 | lot=0.36 | 
2025.04.02 23:30:00   CLOSE_BASKET | SHORT | p=0.90073 | lot=0.61 | reason=tp_10.0_pips net_pips=10.3
2025.04.03 08:30:00   PROBE_OPEN | SHORT | p=0.89442 | lot=0.01 | gate_l=0 gate_s=1
2025.04.03 10:45:00   CLOSE_BASKET | SHORT | p=0.89378 | lot=0.01 | reason=tp_10.0_pips net_pips=6.4
2025.04.03 12:00:00   PROBE_OPEN | SHORT | p=0.89507 | lot=0.01 | gate_l=0 gate_s=1
2025.04.03 12:45:00   ADD | SHORT | p=0.89771 | lot=0.24 | 
2025.04.03 13:45:00   CLOSE_BASKET | SHORT | p=0.89625 | lot=0.25 | reason=tp_10.0_pips net_pips=13.5
