2026.02.18 13:45:00   CLOSE_BASKET | SHORT | p=0.96520 | lot=0.05 | reason=tp_10.0_pips net_pips=7.6
2026.02.18 14:00:00   PROBE_OPEN | LONG | p=0.96475 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.35
2026.02.18 17:15:00   CLOSE_BASKET | LONG | p=0.96604 | lot=0.05 | reason=tp_10.0_pips net_pips=12.9
2026.02.18 17:30:00   PROBE_OPEN | SHORT | p=0.96607 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.18 21:00:00   CLOSE_BASKET | SHORT | p=0.96531 | lot=0.05 | reason=tp_10.0_pips net_pips=7.6
2026.02.18 21:15:00   PROBE_OPEN | LONG | p=0.96513 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.19 03:15:00   CLOSE_BASKET | LONG | p=0.96626 | lot=0.05 | reason=tp_10.0_pips net_pips=11.3
2026.02.19 03:30:00   PROBE_OPEN | SHORT | p=0.96631 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.19 07:15:00   CLOSE_BASKET | SHORT | p=0.96562 | lot=0.05 | reason=tp_10.0_pips net_pips=6.9
2026.02.19 07:30:00   PROBE_OPEN | LONG | p=0.96615 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.19 09:30:00   CLOSE_BASKET | LONG | p=0.96716 | lot=0.05 | reason=tp_10.0_pips net_pips=10.1
2026.02.19 09:45:00   PROBE_OPEN | SHORT | p=0.96747 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.19 11:30:00   CLOSE_BASKET | SHORT | p=0.96637 | lot=0.05 | reason=tp_10.0_pips net_pips=11.0
2026.02.19 11:45:00   PROBE_OPEN | LONG | p=0.96604 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.34
2026.02.20 04:00:00   ADD | LONG | p=0.96325 | lot=1.20 | 
2026.02.20 09:15:00   CLOSE_BASKET | LONG | p=0.96487 | lot=1.25 | reason=tp_10.0_pips net_pips=15.1
2026.02.20 09:30:00   PROBE_OPEN | SHORT | p=0.96453 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=18.31
2026.02.20 17:00:00   ADD | SHORT | p=0.96686 | lot=1.20 | 
2026.02.20 21:00:00   ADD | SHORT | p=0.96923 | lot=1.80 | 
2026.02.23 03:30:00   CLOSE_BASKET | SHORT | p=0.96714 | lot=3.05 | reason=tp_10.0_pips net_pips=10.8
