idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
210,2025.06.18 16:30:00,2025.06.19 04:15:00,SHORT,2,0.88999,0.88908,0.25,9.1,tp_10.0_pips,2.272,15.39
211,2025.06.19 04:30:00,2025.06.20 03:15:00,LONG,2,0.88734,0.88868,0.25,13.4,tp_10.0_pips,3.349,22.69
212,2025.06.20 03:30:00,2025.06.20 16:45:00,SHORT,2,0.89003,0.88929,0.25,7.4,tp_10.0_pips,1.852,12.55
213,2025.06.23 02:30:00,2025.06.23 03:45:00,SHORT,1,0.88565,0.88491,0.01,7.4,tp_10.0_pips,0.074,0.50
214,2025.06.23 09:45:00,2025.06.23 12:15:00,SHORT,1,0.88275,0.88182,0.01,9.3,tp_10.0_pips,0.093,0.63
215,2025.06.23 17:00:00,2025.07.03 15:45:00,SHORT,8,0.89246,0.89065,4.21,18.1,tp_10.0_pips,76.306,516.92
216,2025.07.03 16:00:00,2025.07.03 16:45:00,LONG,1,0.89156,0.89273,0.01,11.7,tp_10.0_pips,0.117,0.79
217,2025.07.03 18:00:00,2025.07.04 01:45:30,LONG,1,0.89151,0.89257,0.01,10.6,tp_10.0_pips,0.106,0.72
218,2025.07.04 04:30:00,2025.07.08 07:45:00,LONG,3,0.88876,0.89254,0.61,37.8,tp_10.0_pips,23.079,156.34
219,2025.07.08 08:00:00,2025.07.08 08:45:00,SHORT,1,0.89269,0.89180,0.01,8.9,tp_10.0_pips,0.089,0.60
220,2025.07.08 09:00:00,2025.07.08 17:15:00,SHORT,1,0.89261,0.89149,0.01,11.2,tp_10.0_pips,0.112,0.76
221,2025.07.08 19:30:00,2025.07.09 00:15:30,SHORT,1,0.89262,0.89304,0.01,-4.2,tp_10.0_pips,-0.042,-0.28
222,2025.07.09 00:30:30,2025.07.09 07:45:00,LONG,1,0.89258,0.89366,0.01,10.8,tp_10.0_pips,0.108,0.73
223,2025.07.09 11:15:00,2025.07.09 16:00:00,LONG,1,0.89305,0.89418,0.01,11.3,tp_10.0_pips,0.113,0.77
224,2025.07.09 23:45:00,2025.07.10 09:00:00,LONG,1,0.89486,0.89592,0.01,10.6,tp_10.0_pips,0.106,0.72
225,2025.07.10 15:45:00,2025.07.10 18:00:00,LONG,1,0.89644,0.89757,0.01,11.3,tp_10.0_pips,0.113,0.77
226,2025.07.11 00:15:00,2025.07.11 04:45:00,LONG,1,0.90079,0.90196,0.01,11.7,tp_10.0_pips,0.117,0.79
227,2025.07.11 07:45:00,2025.07.11 09:45:00,LONG,1,0.90054,0.90154,0.01,10.0,tp_10.0_pips,0.100,0.68
228,2025.07.11 11:30:00,2025.07.18 06:00:00,LONG,7,0.89288,0.89405,3.25,11.7,tp_10.0_pips,37.969,257.21
229,2025.07.18 06:15:00,2025.07.18 07:15:00,SHORT,1,0.89403,0.89333,0.01,7.0,tp_10.0_pips,0.070,0.47
230,2025.07.18 10:00:00,2025.07.18 21:45:00,SHORT,1,0.89388,0.89320,0.01,6.8,tp_10.0_pips,0.068,0.46
231,2025.07.21 02:15:00,2025.07.21 23:45:00,SHORT,1,0.89328,0.89262,0.01,6.6,tp_10.0_pips,0.066,0.45
